Français,Ewondo,Part of Speech
abaissant,mə-sáma,nom
abaissant,o-sɔ́n,nom
abaissé,bála,adjectif
abaissé (être),dzəde,verbe
abaissé (être),dzɔdɔ́,verbe
abaisse-langue,o-lé,nom
abaissement,a-dzɔdí,nom
abaissement,bi-dzaa,nom
abaissement,e-dzɔdi,nom
abaissement,e-dzɔdi,nom
abaissement,mə-sáma,nom
abaissement,ǹ-dzɔdán,nom
abaisser,dzaa,verbe
abaisser,dzəde,verbe
abaisser,dzɔdi,verbe
abaisser,sui,verbe
abaisser (s'),dzəde,verbe
abaisser (s'),dzədəbə,verbe
abaisser (s'),dzɔdi,verbe
abaisser (s'),dzɔdɔbɔ,verbe
abaisser (s'),kádan,verbe
abaisser (s'),ngɔdɔbɔ,verbe
abaisser (s'),sus,verbe
abajoue,e-bui,nom
abandon,a-kílí,nom
abandon,a-kódó,nom
abandon,a-kús,nom
abandon,adzogó,nom
abandon,e-dɔli,nom
abandon,e-dzoge,nom
abandon,e-kpə́gə́dé,nom
abandon,e-tə́le,nom
abandon,mə-lígi,nom
abandon,mə-túb,nom
abandon,məkódo,nom
abandon,ǹ-dzogán,nom
abandon,ǹ-lígán,nom
abandon,ǹ-tə́lán,nom
abandon,ǹ-tsígán,nom
abandon,ǹ-túbán,nom
abandonné,-nyuí,nom
abandonné,e-fun,nom
abandonné,e-kpə́gə́dé,nom
abandonné,e-kudí,nom
abandonné,m̀-myasán,nom
abandonné,ǹ-dzogán,nom
abandonné,ǹ-tə́lán,nom
abandonné (être),lígi,verbe
abandonné (être),myasi,verbe
abandonné et vieux,e-kulunganga,adjectif
abandonne un lieu,ǹ-kwí,nom
abandonner,bub,verbe
abandonner,dzoge,verbe
abandonner,fyás,verbe
abandonner,kpə́gəde,verbe
abandonner,líg,verbe
abandonner,myas,verbe
abandonner,soe,verbe
abandonner,sui,verbe
abandonner,tə́le,verbe
abandonner,tsáŋada,verbe
abandonner (s'),ku,verbe
abandonner (s'),lígan,verbe
abandonner dans un coin,túli,verbe
abandonner sans soin,myami,verbe
abasourdi,a-kúgúbú,nom
abasourdi,a-və̌m,nom
abasourdi,mə-kám,nom
abasourdir,kúgubu,verbe
abat,o-kpa,nom
abats,-táwola,nom
abats,ǹ-súngá,nom
abattage,a-baí,nom
abattage,e-bɛ,nom
abattage,e-kpa,nom
abattage,e-tsîg,nom
abattage,mə-kpa,nom
abattage,m̀-bǎn,nom
abattage,m̀-bai,nom
abattage,o-kpa,nom
abattage des arbres,o-bai,nom
abattement,-sɔ́m,nom
abattement,a-baí,nom
abattement,a-suí,nom
abattement,a-təgə́,nom
abattement,e-ngɔmɔndɔ,nom
abattement,e-vaa,nom
abattement,ǹ-kib,nom
abattement,ǹ-lui,nom
abattement,ǹ-suán,nom
abatteur,m̀-kpa,nom
abatteur (d'arbres),m̀-bai,nom
abattoir,e-bɛ,nom
abattre,bai,verbe
abattre,búdi,verbe
abattre,kodan,verbe
abattre,kpa,verbe
abattre,təgə,verbe
abattre,wé,verbe
abattre (s'),ku,verbe
abattu,-sɔ́m,nom
abattu,-tságádá,nom
abattu,ǹ-silán,nom
abattu,ǹ-təgán,nom
abattu,vɔl,adjectif
abattu (être),dzɔ̌,verbe
abattu (être),m̀-bǎn,nom
abattu (être),tɔmɔ,verbe
abattu (être),vɔd,verbe
abbaye,e-fɔí,nom
abbé,-fada,nom
abbé,-tadá,nom
abcès,dz-onoŋ,nom
abcès,-mvím,nom
abcès,dz-ɔ̌d,nom
abcès,e-kɛl,nom
abcès,ǹ-kás,nom
abcès,o-kúkua,nom
abcès à l'aine,m̀-bíb,nom
abcès abdominal,-ovyɛ́d,nom
abcès de la cuisse,a-mǎ,nom
abcès de l'aisselle,-tálâ,nom
abcès du sein,m̀-bə́bɛ́,nom
abcès sur la gencive,a-tóg,nom
abdicataire,ǹkíli,nom
abdication,a-kílí,nom
abdication,a-kódó,nom
abdication,adzogó,nom
abdication,e-dzoge,nom
abdication,e-nɔŋ,nom
abdication,ǹ-dzogán,nom
abdication,ǹ-kílí,nom
abdiqué,ǹ-dzogán,nom
abdiquer,dzoge,verbe
abdiquer,fyás,verbe
abdiquer,kíli,verbe
abdiquer,kódo,verbe
abdiquer,nyî,verbe
abdomen,-kpidi mgbím,nom
abdomen,a-bum,nom
abdominal,a-bum,nom
abeille,-mvufoŋ,nom
aberration,a-kúd,nom
aberration,e-vǔs,nom
abêti,-fúlus,nom
abêti,e-túngá,nom
abêtir,súgulu,verbe
abêtir,kúgubu,verbe
abhorrer,fəm,verbe
abhorrer,síŋ,verbe
abhorrer,víni,verbe
abhorrer,yɔg,verbe
abîme,-ndɔb,nom
abîme,-ndoŋ,nom
abîme,e-díb,nom
abîme,e-dɔ́g,nom
abîme,e-kə́kə̄lé,nom
abîme,ǹ-yímbi,nom
abîmé,-sǔn,nom
abîmé,ǹ-dámán,nom
abîmé,ǹ-tu,nom
abîmé (être),boe,verbe
abîmer,dzúgulu,verbe
abîmer,fulan,verbe
abîmer,ndáman,verbe
abîmer,nyami,verbe
abîmer,tandi,verbe
abîmer (s'),túgi,verbe
abîmer facilement,nɔ́g,verbe
abímí,e-bími,nom
abject,-ángōndó,nom
abject,-nyindig,nom
abject,a-zɔ́g,nom
abject,e-labada,nom
abject,mə-sáma,nom
abject,o-bɔbɔd,nom
abject,o-byag,nom
abject,o-sáma,nom
abjection,a-zɔ́g,nom
abjection,mə-sáma,nom
abjection,o-sáma,nom
abjection,o-sɔ́n,nom
abjuration,e-dɔli,nom
abjuration,ǹ-sóán,nom
abjurer,dɔli,verbe
abjurer,vɛs,verbe
ablaté,ǹ-tsígán,nom
ablater (s'),tsíg,verbe
ablater le prépuce,kəle,verbe
ablation,e-dɔli,nom
ablation,e-tsîg,nom
ablation,e-vaa,nom
ablation,ǹ-tsígán,nom
ablation,o-bog,nom
ablation,o-dalí,nom
ablette,-éfala,nom
ablette,-mvaa,nom
ablette,-nda,nom
ablette adulte,ǹ-sǒl,nom
ablution,e-wɔ́bɔ,nom
ablution,mə-soban,nom
ablution,mə-wɔ́bɔ,nom
ablution,ǹ-sobán,nom
ablution,o-sob,nom
ablution rituelle,e-sob,nom
ablutions,e-wɔdan,nom
abnégation,e-sós,nom
abnégation,-mvam,nom
abnégation,e-mvaman,nom
abnégation,e-túgu,nom
abnégation,ǹ-kián,nom
aboi,m̀-bón,nom
aboiement,m̀-bón,nom
abolir,búli,verbe
abolir,dím,verbe
abolir,fub,verbe
abolir,tə́le,verbe
abolir,tsíg,verbe
abolition,e-búli,nom
abolition,e-dími,nom
abolition,e-dɔli,nom
abolition,e-fub,nom
abolition,e-tə́le,nom
abominable,-ángōndó,nom
abominable,-kokɔ́,nom
abominable,-nyindig,nom
abominable,a-bé,nom
abomination,a-bé,nom
abominer,dzɔl,verbe
abominer,fəm,verbe
abominer,yɔg,verbe
abondamment,-alíba,nom
abondamment,-sódé,nom
abondamment,a-buí,adverbe
abondamment,a-buí,adverbe
abondamment,mə-bí,nom
abondamment,m̀-mɔm,nom
abondance,-angada,nom
abondance,a-buí,nom
abondance,a-dzálá,nom
abondance,a-kúmá,nom
abondance,a-və́m,nom
abondance,e-foe,nom
abondance,e-fufɔŋ,nom
abondance,e-nada,nom
abondance,e-títíb,nom
abondance,e-zɔ̌b,nom
abondance,mə-buguban,nom
abondance,ǹ-nâ,nom
abondance,ǹ-tam,nom
abondance de,e-wé,nom
abondance du flux vaginal,mə-ndíb,nom
abondant,a-buí,adjectif
abondant,bi-bug,nom
abondant,e-zəzam,nom
abondant,m̀-mɔm,nom
abondant,vɔ́ŋɔbɔ,adjectif
abondant,vú,adjectif
abondant (être),bə́ge,verbe
abondé,nɔdɔ́,adjectif
abonder,bə́ge,verbe
abonder,buli,verbe
abonder,foe,verbe
abonder,mɔm,verbe
abonder,nadaba,verbe
abonder,nəman,verbe
abonder,ngam,verbe
abonder,ngúngúnán,verbe
abonder,ngúni,verbe
abonder,tə́mənde,verbe
abonder,tə́tə̄mán,verbe
abonder,vás,verbe
abonder,yə́mənde,verbe
abonné,-aso,nom
abonnir,nyəbə,verbe
abord,-ngɔ́dɔ́,nom
abord,mə-suan,nom
abord,mə-tsógōná,nom
abordable,-tsígíbí,nom
abordable,bugubu,adjectif
abordable,e-bǔbu,nom
abordable,yəl,adjectif
aborder,dzibi,verbe
aborder,mɔ,verbe
aborder,tádi,verbe
aborder,yái,verbe
abords,a-kúg,nom
aborigène,ǹ-nam,nom
aborigène,-atɔbɔ ǹnama,nom
aborigène,-byálí byali,nom
aborigène,ǹ-kas,nom
abortif,e-kúli,nom
abouchement,a-tóbán,nom
abouchement,e-bǒŋ,nom
abouchement,ǹ-tóbán,nom
aboucher,sɔ́bɔ,verbe
aboulie,á zəməle,nom
aboulie,e-lɛ̌s,nom
about,o-dzɔ́n,nom
aboutement,e-lad,nom
aboutement,o-dzɔ́n,nom
abouter,bɛ,verbe
abouter,dzɔ́n,verbe
abouter,lad,verbe
abouter,tóban,verbe
abouter,woŋ,verbe
abouti,m̀-kpáán,nom
abouti à,m̀-bomán,nom
aboutir,kə(l),verbe
aboutir,kwí,verbe
aboutir,lod,verbe
aboutir,tóban,verbe
aboutir à,boman,verbe
aboutir à,túlan,verbe
aboutir à un bon résultat,kyəbə,verbe
aboutir accidentellement,vân,verbe
aboutissement,-ndɔ́ŋ,nom
aboutissement,-ngie,nom
aboutissement,e-yíliga,nom
aboutissement,mə-maná,nom
aboutissement,m̀-kpáán,nom
aboyer,bón,verbe
abracadabrant,e-vəmba,adjectif
abraser,síbi,verbe
abrasif,ǹ-síb,nom
abrasif,sîban,adjectif
abrasion,ǹ-síb,nom
abréaction,e-sóan,nom
abréaction,mə-sóan,nom
abrégé,-tsígíbí,nom
abrégé,ǹ-tsígán,nom
abrégé,o-bálabas,nom
abrègement,ǹ-tsígán,nom
abréger,bɔ́dɔ,verbe
abréger,səg,verbe
abréger,tsíg,verbe
abréger,tunubu,verbe
abreuvement,e-wé,nom
